Date,avg_wind_speed_m_s,Mean viral gene copies/L,smoothed,zscore
2024-10-01,8.332253,1527910,842121.261904762,1.08409173750703
2024-10-02,7.695549,943771,783078.785714286,0.196047882597406
2024-10-03,7.5502877,359632,685395.071428572,-0.691995972312218
2024-10-04,6.2990055,306551,560516.928571429,-0.77269295686976
2024-10-05,6.292005,253470,408444.357142857,-0.853389941427301
2024-10-06,7.612407,200389,366874.571428571,-0.934086925984843
2024-10-07,7.149218,331895.5,435807.571428571,-0.73416269698169
2024-10-08,6.2698417,463402,513212.190476191,-0.534238467978538
2024-10-09,5.9844265,652782.5,599088.428571429,-0.246330642504272
2024-10-10,6.649587,842163,693436.285714286,0.0415771829699934
2024-10-11,7.4340324,848383.333333333,750987.964285714,0.0510337143643297
2024-10-12,8.550983,854603.666666667,771743.464285714,0.0604902457586658
2024-10-13,6.2074547,860824,747435.071428572,0.069946777153002
2024-10-14,6.8452497,734757.25,678062.785714286,-0.121707611007911
2024-10-15,5.2467027,608690.5,604039.976190476,-0.313361999168825
2024-10-16,7.321078,482623.75,525366.642857143,-0.505016387329738
2024-10-17,10.698009,356557,442042.785714286,-0.696670775490652
2024-10-18,9.686131,330223.666666667,375705.321428571,-0.736704320324935
2024-10-19,7.673322,303890.333333333,326354.25,-0.776737865159218
2024-10-20,9.456572,277557,308011.285714286,-0.816771409993502
2024-10-21,6.7017074,270395,320676.428571429,-0.827659520680963
2024-10-22,5.58853,263233,352826.714285714,-0.838547631368424
2024-10-23,5.8874283,354223,404462.142857143,-0.700219065122673
2024-10-24,5.393843,445213,475582.714285714,-0.561890498876922
2024-10-25,5.715626,555275.666666667,508544,-0.394566497589044
2024-10-26,5.9617195,665338.333333333,503346,-0.227242496301166
2024-10-27,6.4593663,775401,488176,-0.0599184950132885
2024-10-28,11.024326,501124,463034,-0.476891175134025
2024-10-29,12.080623,226847,425195.333333333,-0.893863855254761
2024-10-30,7.973644,248033,374660,-0.86165560155125
2024-10-31,7.148231,269219,311428,-0.829447347847739
2024-11-01,6.1310086,290405,290405,-0.797239094144228
2024-11-02,10.171744,311591,311591,-0.765030840440717
2024-11-03,8.901548,332777,348012.285714286,-0.732822586737206
2024-11-04,6.9079127,353963,399668.857142857,-0.700614333033695
2024-11-05,7.1617017,375149,440187.238095238,-0.668406079330184
2024-11-06,8.171317,502982,469567.428571429,-0.474066529831414
2024-11-07,8.818141,630815,487809.428571429,-0.279726980332644
2024-11-08,7.9532485,574033.666666667,553723.357142857,-0.36604943807
2024-11-09,6.377807,517252.333333333,667309.214285714,-0.452371895807357
2024-11-10,6.4471774,460471,721104.714285714,-0.538694353544713
2024-11-11,7.607516,815360.5,715109.857142857,0.000830382257808115
2024-11-12,5.9336543,1170250,726988.333333333,0.540355118060329
2024-11-13,4.57799,879550.5,756740.142857143,0.0984159484443643
2024-11-14,4.746331,588851,804365.285714286,-0.343523221171601
2024-11-15,14.643874,657183,768710.571428572,-0.239640733110224
2024-11-16,6.970703,725515,649776,-0.135758245048848
2024-11-17,5.2576995,793847,588168.214285714,-0.0318757569874712
2024-11-18,10.191,565777.5,583887.214285714,-0.378600967883012
2024-11-19,5.9015446,337708,609778.023809524,-0.725326178778553
2024-11-20,4.3079877,448296,665840.642857143,-0.557203533608918
2024-11-21,4.221513,558884,752075.071428572,-0.389080888439283
2024-11-22,3.6786509,838418.666666667,860380.285714286,0.0358848182975441
2024-11-23,4.8810997,1117953.33333333,990756.285714286,0.460850525034371
2024-11-24,5.121839,1397488,1113252.54285714,0.885816231771198
2024-11-25,5.004437,1323914,1227869.05714286,0.773964534519139
2024-11-26,4.159587,1250340,1310470.59047619,0.662112837267079
2024-11-27,4.8966784,1305769.8,1361057.14285714,0.746380611322346
2024-11-28,4.014459,1361199.6,1379628.71428571,0.830648385377613
2024-11-29,4.477631,1416629.4,1340908.07142857,0.91491615943288
2024-11-30,4.4297194,1472059.2,1244895.21428571,0.999183933488146
2024-12-01,3.786845,1527489,1123260.31428571,1.08345170754341
2024-12-02,3.515072,1052869.5,976003.371428571,0.361906098715244
2024-12-03,3.4614775,578250,868885.742857143,-0.359639510112926
2024-12-04,3.5370476,454325.5,801907.428571429,-0.548037118726197
2024-12-05,3.577089,330401,775068.428571429,-0.736434727339469
2024-12-06,2.9806707,666806,745076.071428572,-0.22501125961882
2024-12-07,5.1753592,1003211,711930.357142857,0.286412208101829
2024-12-08,4.2999363,1339616,723528.428571429,0.797835675822477
2024-12-09,3.718672,842923,779870.285714286,0.0427325814791347
2024-12-10,7.015578,346230,796396.142857143,-0.712370512864208
2024-12-11,4.8083854,535512,773106,-0.424612433117772
2024-12-12,7.4325366,724794,709999.857142857,-0.136854353371336
2024-12-13,4.709004,782487,676383.142857143,-0.0491459241767417
2024-12-14,5.0572104,840180,672255.857142857,0.0385625050178522
2024-12-15,6.303923,897873,662674.142857143,0.126270934212446
2024-12-16,4.440536,607606,647638,-0.315010722436146
2024-12-17,3.542143,317339,619652.904761905,-0.756292379084738
2024-12-18,2.6706054,468440,578718.857142857,-0.526579392071888
2024-12-19,2.6394346,619541,524835.857142857,-0.296866405059038
2024-12-20,2.2954104,586591.333333333,601448.857142857,-0.346958504721368
